"Player";"Position";"Team"
"Steyn, Johan";"HB";"KIN"
"Gouws, Rowan";"HB";"SHA"
"Duvenage, Dewaldt";"HB";"STO"
"Diaz Bonilla, Joaquin";"FH";"JAG"
"Tromp, Johan";"OB";"KIN"
"Penxe, Yaw";"OB";"KIN"
"Radebe, Innocent";"FH";"SHA"
"van Rooyen, Rudi";"OB";"KIN"
"Bock, Alshaun";"OB";"KIN"
"Mapimpi, Makazole";"OB";"KIN"
"Dyantyi, Aphiwe";"OB";"LIO"
"Gordon, Dean";"OB";"LIO"
"Nkosi, Sibusiso";"OB";"SHA"
"Mukendi, Illunga";"OB";"SHA"
"Tupou, Semisi";"M";"REB"
"Keyter, Eduan";"OB";"STO"
